"","id_cliente_enc","total_productos","productos_distintos","dias_activos","compras_por_semana","compras_entre_semana","compras_fin_de_semana","kmeans_cluster","hc_cluster"
"10907","4c6b566f79b5041e44115837985cb200",68,46,42,11.3333333333333,68,0,2,3
"10908","4c6d991876b94df2a44d5e24e07a52de",118,81,63,13.1111111111111,118,0,3,3
"10909","4c6dc22347c95566b1d9cf3db662b403",16,16,0,16,16,0,1,2
"10910","4c6e7dd982eeb6d5d29745b52d3e5063",10,10,0,10,0,10,1,2
"10911","4c6fb71841c4397cb2de57a795e6059a",21,21,0,21,21,0,1,2
"10912","4c7224d5a2c591fcdd3e4c7577cecd17",37,37,0,37,37,0,1,2
"10913","4c727aa3eada529d40e59835876c78c9",30,30,0,30,30,0,1,2
"10914","4c778f7a6ab33b8d5686ab43939afa62",58,22,54,7.51851851851852,37,21,2,1
"10915","4c7842ae0badb594da47d1f0f00d5d30",112,64,56,14,60,52,2,3
"10916","4c794825a184686f08a57b95fe6cc080",84,59,46,12.7826086956522,55,29,2,1
"10917","4c7d4cde82215a240febfdb41adb3539",18,18,16,7.875,18,0,1,1
"10918","4c7dc317176771d1a26096a4effe3af7",13,13,0,13,13,0,1,2
"10919","4c7e8e6c47665c4ae1db655e5f858588",11,10,6,12.8333333333333,1,10,1,2
"10920","4c810ba14a8418efa5745965907b71ef",90,53,69,9.1304347826087,90,0,2,3
"10921","4c81e25defba55faf96c591aeb49cd9c",54,38,58,6.51724137931034,54,0,2,1
"10922","4c84382167bff329068631fe134a9dad",107,87,43,17.4186046511628,55,52,3,3
"10923","4c849c1f88c834370d3f747a1a87a78d",25,17,63,2.77777777777778,25,0,2,1
"10924","4c857b94ef9f3ad4bd005afb88fb2136",86,49,64,9.40625,86,0,2,3
"10925","4c8dfc3bf176a726a444f12c09fd41b2",50,50,24,14.5833333333333,14,36,2,1
"10926","4c8eb71b647b3ad61e009f4d046edda9",20,20,0,20,20,0,1,2
"10927","4c8f50335e0a4dac4dc29e79fdbe7f9d",41,41,0,41,41,0,1,2
"10928","4c91d5f0183bcb0251ba1bcd3b9b6294",41,41,0,41,41,0,1,2
"10929","4c9248f8c5dc95aaa97c23872f91cf50",17,17,0,17,17,0,1,2
"10930","4c92be976a0d19607254714d0eb32094",134,93,34,27.5882352941176,134,0,3,3
"10931","4c92f5ece7e1545bb4b3d6805dd8c8b0",117,59,70,11.7,117,0,3,3
"10932","4c93267dc9fe9b63d75c8057d8a8cf0c",26,26,0,26,26,0,1,2
"10933","4c9543bef4f558880edad47560aaa9a6",23,23,0,23,23,0,1,2
"10934","4c97a0d9b23e810cce1cbfafce0ce1fd",27,27,0,27,27,0,1,2
"10935","4c981b471b11095c4d3ef4b7519136b0",18,18,0,18,18,0,1,2
"10936","4c9c572100f44b1bb0eb288d00979ce3",18,18,0,18,18,0,1,2
"10937","4c9eb1e25d401f5d5a74a4f7a53a13fb",67,39,33,14.2121212121212,67,0,2,1
"10938","4c9f327aa1d619848e745a3952462b5f",26,26,0,26,0,26,1,2
"10939","4ca0e92fc34a58e91eead00ce6632799",30,30,0,30,30,0,1,2
"10940","4ca2a14a1febcc000414ae2bb42e3e56",20,20,0,20,20,0,1,2
"10941","4ca2f8a6917d57e13b5fe8096be5e95f",25,25,0,25,25,0,1,2
"10942","4ca503e3902d6f2c5242b5ab8a43bfd8",36,36,0,36,36,0,1,2
"10943","4ca8446dec0ea4d46987ac3fee9e232f",197,97,75,18.3866666666667,173,24,3,3
"10944","4cac71999995374bd1ef67c3d37493c9",189,120,44,30.0681818181818,189,0,3,3
"10945","4cace95090fd20d129640169c0be1303",127,53,64,13.890625,127,0,3,3
"10946","4cacfd351f7d7a303171b5e7dab4ecb3",41,41,0,41,41,0,1,2
"10947","4caf8d76157ca8638d094154dde480fe",187,112,64,20.453125,187,0,3,3
"10948","4cb2f3c51643e75a05cf033634144ab0",27,26,7,27,27,0,1,2
"10949","4cb6669166c7c93df6092421d40d38cb",28,28,0,28,28,0,1,2
"10950","4cb73c9d5e7eb0585144605c465c631a",36,33,14,18,36,0,1,1
"10951","4cb7ccfeeb3710b9bc5b9c2c2a2f4e70",66,40,66,7,66,0,2,1
"10952","4cb8fa8f961bbf01e0f336bc946f1d98",197,111,57,24.1929824561404,197,0,3,3
"10953","4cb91367eeb672ba89834eedb0b485e1",20,20,0,20,20,0,1,2
"10954","4cb962781ebb464ec17c10e873f6668c",27,25,61,3.09836065573771,27,0,2,1
"10955","4cb9f66b86e8fa43ac89fb13a78af098",10,10,0,10,10,0,1,2
"10956","4cbc59386b8edcccb66567f04448e4cb",182,100,63,20.2222222222222,182,0,3,3
"10957","4cbc5cb08e176df51e1fe32758a32c42",39,39,0,39,0,39,1,2
"10958","4cbc788bbaf55825a8198692180d0f15",18,18,0,18,18,0,1,2
"10959","4cbd29e8d1f0f02e6aa5026d72677c9c",31,23,42,5.16666666666667,31,0,2,1
"10960","4cbe542282e962ebc7e82d4b8c4332d8",95,58,14,47.5,95,0,1,2
"10961","4cbe7653f16e05461cd263c5a9eea5a3",21,21,0,21,21,0,1,2
"10962","4cc23717752f53092ae1cd8b61eb2d92",70,56,33,14.8484848484848,36,34,2,1
"10963","4cc2b1fc11ff492499836c1f903e4ef1",39,39,0,39,39,0,1,2
"10964","4cc57a00c97571f6028d236d4686b8d4",17,17,0,17,17,0,1,2
"10965","4cc691099f5e2948e62d49ca29657728",185,88,76,17.0394736842105,160,25,3,3
"10966","4cc6d11ad5a47c9d7bbe18a67145a7e5",33,33,0,33,0,33,1,2
"10967","4cc996e21d739a9879827f20f9b54a15",21,21,0,21,0,21,1,2
"10968","4cca0c6b7d52e577619d7fc1045a4a21",175,119,81,15.1234567901235,127,48,3,3
"10969","4cca7bbe8ca24f94d51f7fd424405f76",78,40,47,11.6170212765957,62,16,2,1
"10970","4ccac87759ff6b293b9b49462c3c56f7",29,29,0,29,29,0,1,2
"10971","4cce08a2ae2956bd3ce48bbc60d30ea0",20,20,0,20,0,20,1,2
"10972","4ccede8729e85fc5230fe023e3619c85",127,106,27,32.9259259259259,86,41,3,3
"10973","4cd296952000ea232f244a5d610caea0",109,47,81,9.41975308641975,109,0,2,3
"10974","4cd462431b42476f018e14fad4617483",29,29,0,29,29,0,1,2
"10975","4cd6c9a70943400bf08b1a8bb93445ae",41,32,38,7.55263157894737,29,12,2,1
"10976","4cdeae45b3fbd22c6bf07034e0b84133",97,56,48,14.1458333333333,97,0,2,3
"10977","4cdf28c326bf5a2dba3439f56c274181",1,1,0,1,1,0,1,2
"10978","4ce2b957e48dea757393f821c55509dd",13,13,0,13,0,13,1,2
"10979","4ce2d22f61b98cba866ec33f776a5ad1",213,114,78,19.1153846153846,213,0,3,3
"10980","4ce516aaf891b72a165c857fd904654a",24,24,0,24,24,0,1,2
"10981","4ce5dfbb803597cd432d42a2ad33e799",15,15,0,15,15,0,1,2
"10982","4ce7e10e7a4c3aab178dfd8aba0a5759",24,24,0,24,0,24,1,2
"10983","4ce8aa6fba2533f70186b3e5deb2d773",24,24,0,24,24,0,1,2
"10984","4cea1b2392cc032e7068e4a0ef15f279",211,100,63,23.4444444444444,211,0,3,3
"10985","4cee80be9b979357f65921a9a62dd1b8",43,39,51,5.90196078431373,43,0,2,1
"10986","4cee87e1baeda728778238b71e91a76c",23,23,0,23,23,0,1,2
"10987","4cef6662d169a45e33f10c913f309b12",115,71,66,12.1969696969697,76,39,3,3
"10988","4cefafe2bc6ba4cd47ddc3a06d86c11d",112,74,35,22.4,112,0,3,3
"10989","4cf57d9db365ea3785693d3f1cb52d1e",1,1,0,1,1,0,1,2
"10990","4cf825b8521799a3195a06e27f3f2a37",80,63,40,14,80,0,2,3
"10991","4cf89ed8984e2d37fd21fa5e194ac0a0",84,59,39,15.0769230769231,84,0,2,3
"10992","4cf94ee9cdc6fadd5217f4e8a44e26a3",142,100,85,11.6941176470588,142,0,3,3
"10993","4cfc92db0c6e1df7f0ef4d71ffaccfce",40,40,0,40,0,40,1,2
"10994","4cfd1636934fa3a2c54301575b88d33d",53,42,34,10.9117647058824,53,0,2,1
"10995","4cfd6620c856b9a14c33527c6d71ca1c",30,27,6,35,16,14,1,2
"10996","4cfd848631735a2ab6a19376026fb5d7",47,43,53,6.20754716981132,47,0,2,1
"10997","4cfd9b2a53fa746d4f32725fcaf08e26",120,79,44,19.0909090909091,120,0,3,3
"10998","4cfe22cf21e4f3bff09e5f29b028776d",34,24,50,4.76,34,0,2,1
"10999","4cfeb5599a342a2ff82fa48b9673fc30",72,67,29,17.3793103448276,72,0,2,1
"11000","4cffc97c384178177bd58bb73fbd141f",30,30,0,30,30,0,1,2
"11001","4d00da7f735ed83d8fceb29028b0dd02",17,17,0,17,0,17,1,2
"11002","4d06a39a88ebbab99a6e379a2c9dc272",189,105,58,22.8103448275862,189,0,3,3
"11003","4d09f802e3d5325001beccd4c57f4ee9",177,96,60,20.65,177,0,3,3
