"id_cliente","producto_recomendado","ranking"
"267","11080105",4
"267","01017105",5
"268","05030498",1
"268","05041180",2
"268","11100131",3
"268","01016705",4
"268","05040184",5
"269","02650602",1
"269","02720520",2
"269","05030498",3
"269","05100604",4
"269","08051550",5
"270","01012910",1
"270","01016710",2
"270","01085120",3
"270","01085505",4
"270","01201525",5
"271","01085020",1
"271","01085505",2
"271","02691030",3
"271","04060506",4
"271","04201005",5
"272","05030401",1
"272","01201515",2
"272","02620115",3
"272","05200102",4
"272","04032065",5
"273","05041180",1
"273","05040180",2
"273","05041186",3
"273","05040188",4
"273","01012905",5
"274","11040303",1
"274","11040305",2
"274","01085605",3
"274","10240133",4
"274","05041181",5
"275","01085120",1
"275","02691015",2
"275","05040682",3
"275","05041180",4
"275","08150107",5
"276","05100105",1
"276","04060302",2
"276","05040582",3
"276","01013510",4
"276","10260915",5
"277","05030401",1
"277","11040305",2
"277","04032060",3
"277","04032065",4
"277","10260605",5
"278","09010101",1
"278","04020101",2
"278","05030603",3
"278","06100107",4
"278","05030401",5
"279","10261510",1
"279","05040580",2
"279","05040284",3
"279","04031801",4
"279","05030406",5
"280","01201525",1
"280","11100131",2
"280","01012905",3
"280","01013305",4
"280","05120107",5
"281","05041188",1
"281","05040182",2
"281","05040183",3
"281","01026005",4
"281","05030401",5
"282","02620115",1
"282","02651405",2
"282","10028710",3
"282","06100205",4
"282","11103620",5
"283","01012515",1
"283","01012910",2
"283","01085120",3
"283","01201525",4
"283","02650602",5
"284","04080230",1
"284","01201505",2
"284","10260620",3
"284","08315005",4
"284","05040581",5
"285","05041180",1
"285","10200709",2
"285","11040103",3
"285","11040301",4
"285","05040182",5
"286","05100120",1
"286","01026010",2
"286","02691030",3
"286","02720520",4
"286","03070109",5
"287","01085005",1
"287","01013305",2
"287","01012905",3
"287","01028005",4
"287","01026005",5
"288","11080101",1
"288","08100907",2
"288","10028406",3
"288","05030410",4
"288","01027835",5
"289","06100105",1
"289","05140204",2
"289","05160301",3
"289","10220109",4
"289","10281025",5
"290","05100601",1
"290","05120210",2
"290","13490103",3
"290","08210301",4
"290","10240130",5
"291","01017105",1
"291","05041187",2
"291","11131510",3
"291","01016705",4
"291","09130302",5
"292","01012705",1
"292","01012910",2
"292","01017105",3
"292","01028305",4
"292","02650602",5
"293","11040301",1
"293","11060105",2
"293","05030601",3
"293","14261001",4
"293","01085005",5
"294","01026810",1
"294","10260910",2
"294","01012715",3
"294","11060105",4
"294","14261001",5
"295","01016710",1
"295","01085120",2
"295","01012905",3
"295","01028005",4
"295","02720505",5
"296","11080101",1
"296","01027835",2
"296","02620115",3
"296","10080409",4
"296","11040305",5
"297","06120119",1
"297","01012910",2
"297","05040280",3
"297","04020301",4
"297","05200401",5
"298","08100917",1
"298","12670301",2
"298","08230113",3
"298","08100907",4
"298","11103610",5
"299","10200709",1
"299","05030401",2
"299","02751230",3
"299","08031918",4
"299","09130302",5
"300","01012910",1
"300","05030415",2
"300","12650105",3
"300","05200103",4
"300","06120101",5
"301","05140215",1
"301","14301550",2
"301","08052005",3
"301","10080401",4
"301","10240133",5
"302","06100105",1
"302","11060301",2
"302","12650103",3
"302","01201515",4
"302","05030415",5
"303","01085005",1
"303","04020301",2
"303","06100101",3
"303","05040185",4
"303","05200102",5
"304","01012910",1
"304","01085120",2
"304","04060309",3
"304","04201005",4
"304","14302501",5
"305","01028305",1
"305","04060309",2
"305","05100114",3
"305","12670301",4
"305","12410320",5
"306","01016710",1
"306","02720505",2
"306","01013505",3
"306","05030406",4
"306","05100120",5
"307","01012705",1
"307","11100131",2
"307","11131510",3
"307","11100137",4
"307","12650103",5
"308","01017105",1
"308","01085505",2
